home_team,away_team,round,year,replay,match_id,winner
WANDERERS,QUEEN'S PARK (GLASGOW),SEMI-FINAL,1872,FALSE,16065,BYE
WANDERERS,QUEEN'S PARK (GLASGOW),SEMI-FINAL,1872,TRUE,16067,BYE
QUEEN'S PARK (GLASGOW),DONNINGTON SCHOOL,SECOND ROUND PROPER,1872,FALSE,16058,BYE
WANDERERS,CRYSTAL PALACE,THIRD ROUND PROPER,1872,FALSE,16063,BYE
HITCHIN,CRYSTAL PALACE,FIRST ROUND PROPER,1872,FALSE,16049,BYE
QUEEN'S PARK (GLASGOW),DONNINGTON SCHOOL,FIRST ROUND PROPER,1872,FALSE,16051,BYE
ROYAL ENGINEERS,REIGATE PRIORY,FIRST ROUND PROPER,1872,FALSE,16052,BYE
WANDERERS,HARROW CHEQUERS,FIRST ROUND PROPER,1872,FALSE,16054,BYE
CLAPHAM ROVERS,HITCHIN,FIRST ROUND PROPER,1873,FALSE,16071,BYE
OXFORD UNIVERSITY,QUEEN'S PARK (GLASGOW),SEMI-FINAL,1873,FALSE,16092,BYE
WANDERERS,TROJANS,SECOND ROUND PROPER,1874,FALSE,16117,BYE
SHEFFIELD,SHROPSHIRE WANDERERS,FIRST ROUND PROPER,1874,TRUE,16110,BYE
CLAPHAM ROVERS,AMATEUR ATHLETIC CLUB,FIRST ROUND PROPER,1874,FALSE,16097,BYE
HIGH WYCOMBE,OLD ETONIANS,FIRST ROUND PROPER,1874,FALSE,16099,BYE
MAIDENHEAD,CIVIL SERVICE,FIRST ROUND PROPER,1874,FALSE,16100,BYE
TROJANS,FARNINGHAM,FIRST ROUND PROPER,1874,FALSE,16104,BYE
WANDERERS,SOUTHALL,FIRST ROUND PROPER,1874,FALSE,16107,BYE
CIVIL SERVICE,HARROW CHEQUERS,FIRST ROUND PROPER,1875,FALSE,16129,BYE
SHROPSHIRE WANDERERS,SHEFFIELD,FIRST ROUND PROPER,1875,FALSE,16137,BYE
WINDSOR HOME PARK,UXBRIDGE,FIRST ROUND PROPER,1875,FALSE,16141,BYE
OXFORD UNIVERSITY,WINDSOR HOME PARK,SECOND ROUND PROPER,1875,FALSE,16150,BYE
CAMBRIDGE UNIVERSITY,CIVIL SERVICE,FIRST ROUND PROPER,1876,FALSE,16166,BYE
CLAPHAM ROVERS,HITCHIN,FIRST ROUND PROPER,1876,FALSE,16167,BYE
LEYTON,HARROW CHEQUERS,FIRST ROUND PROPER,1876,FALSE,16169,BYE
SHEFFIELD,SHROPSHIRE WANDERERS,FIRST ROUND PROPER,1876,FALSE,16176,BYE
SOUTH NORWOOD,CLYDESDALE,FIRST ROUND PROPER,1876,FALSE,16177,BYE
ROYAL ENGINEERS,PANTHERS,SECOND ROUND PROPER,1876,FALSE,16186,BYE
SHEFFIELD,UPTON PARK,SECOND ROUND PROPER,1876,FALSE,16187,BYE
BARNES,OLD ETONIANS,FIRST ROUND PROPER,1877,FALSE,16199,BYE
CAMBRIDGE UNIVERSITY,HIGH WYCOMBE,FIRST ROUND PROPER,1877,FALSE,16200,BYE
OXFORD UNIVERSITY,OLD SALOPIANS,FIRST ROUND PROPER,1877,FALSE,16204,BYE
SHEFFIELD,TROJANS,FIRST ROUND PROPER,1877,FALSE,16210,BYE
SHROPSHIRE WANDERERS,DRUIDS,FIRST ROUND PROPER,1877,FALSE,16211,BYE
SOUTHALL,OLD WYKEHAMISTS,FIRST ROUND PROPER,1877,FALSE,16213,BYE
WANDERERS,SAFFRON WALDEN TOWN,FIRST ROUND PROPER,1877,FALSE,16216,BYE
OXFORD UNIVERSITY,QUEEN'S PARK (GLASGOW),THIRD ROUND PROPER,1877,FALSE,16228,BYE
DRUIDS,QUEEN'S PARK (GLASGOW),SECOND ROUND PROPER,1878,FALSE,16267,BYE
BARNES,ST MARK'S,FIRST ROUND PROPER,1878,FALSE,16242,BYE
OLD FORESTERS,OLD WYKEHAMISTS,FIRST ROUND PROPER,1878,FALSE,16252,BYE
ROYAL ENGINEERS,HIGHBURY UNION,FIRST ROUND PROPER,1878,FALSE,16258,BYE
CLAPHAM ROVERS,FINCHLEY,FIRST ROUND PROPER,1879,FALSE,16295,BYE
DARWEN,BIRCH,FIRST ROUND PROPER,1879,FALSE,16296,BYE
MINERVA,105TH REGIMENT,FIRST ROUND PROPER,1879,FALSE,16300,BYE
PANTHERS,RUNNYMEDE,FIRST ROUND PROPER,1879,FALSE,16304,BYE
REMNANTS,UNITY,FIRST ROUND PROPER,1879,FALSE,16306,BYE
SOUTH NORWOOD,LEYTON,FIRST ROUND PROPER,1879,FALSE,16310,BYE
OXFORD UNIVERSITY,ASTON VILLA,THIRD ROUND PROPER,1880,FALSE,16398,BYE
BIRMINGHAM,PANTHERS,FIRST ROUND PROPER,1880,FALSE,16344,BYE
HENLEY,READING,FIRST ROUND PROPER,1880,FALSE,16352,BYE
OLD ETONIANS,BARNES,FIRST ROUND PROPER,1880,FALSE,16358,BYE
SHEFFIELD,QUEEN'S PARK (GLASGOW),FIRST ROUND PROPER,1880,FALSE,16364,BYE
WEST END,SWIFTS,FIRST ROUND PROPER,1880,FALSE,16369,BYE
PILGRIMS,HERTS RANGERS,SECOND ROUND PROPER,1880,FALSE,16383,BYE
NOTTINGHAM FOREST,SHEFFIELD,FOURTH ROUND PROPER,1880,FALSE,16404,BYE
NOTTINGHAM FOREST,CAIUS COLLEGE,FIRST ROUND PROPER,1881,FALSE,16426,BYE
PILGRIMS,OLD PHILBERDIANS,FIRST ROUND PROPER,1881,FALSE,16429,BYE
