,home_team,away_team,home_score,away_score,round,year,date,replay,qualifier,match_id,stage,winner,left,right
1,WANDERERS,QUEEN'S PARK (GLASGOW),0.0,0.0,SEMI-FINAL,1872,05.03.72,False,False,16065,2.0,,WANDERERS,QUEEN'S PARK (GLASGOW)
3,WANDERERS,QUEEN'S PARK (GLASGOW),0.0,0.0,SEMI-FINAL,1872,01.01.01,True,False,16067,2.0,,WANDERERS,QUEEN'S PARK (GLASGOW)
9,QUEEN'S PARK (GLASGOW),DONNINGTON SCHOOL,0.0,0.0,SECOND ROUND PROPER,1872,01.01.01,False,False,16058,4.0,,QUEEN'S PARK (GLASGOW),DONNINGTON SCHOOL
11,WANDERERS,CRYSTAL PALACE,0.0,0.0,THIRD ROUND PROPER,1872,20.01.72,False,False,16063,3.0,,WANDERERS,CRYSTAL PALACE
14,HITCHIN,CRYSTAL PALACE,0.0,0.0,FIRST ROUND PROPER,1872,11.11.71,False,False,16049,5.0,,HITCHIN,CRYSTAL PALACE
18,QUEEN'S PARK (GLASGOW),DONNINGTON SCHOOL,0.0,0.0,FIRST ROUND PROPER,1872,01.01.01,False,False,16051,5.0,,QUEEN'S PARK (GLASGOW),DONNINGTON SCHOOL
19,ROYAL ENGINEERS,REIGATE PRIORY,0.0,0.0,FIRST ROUND PROPER,1872,01.01.01,False,False,16052,5.0,,ROYAL ENGINEERS,REIGATE PRIORY
20,WANDERERS,HARROW CHEQUERS,0.0,0.0,FIRST ROUND PROPER,1872,01.01.01,False,False,16054,5.0,,WANDERERS,HARROW CHEQUERS
41,CLAPHAM ROVERS,HITCHIN,0.0,0.0,FIRST ROUND PROPER,1873,01.01.01,False,False,16071,6.0,,HITCHIN,CLAPHAM ROVERS
44,OXFORD UNIVERSITY,QUEEN'S PARK (GLASGOW),0.0,0.0,SEMI-FINAL,1873,01.01.01,False,False,16092,2.0,,QUEEN'S PARK (GLASGOW),OXFORD UNIVERSITY
54,WANDERERS,TROJANS,0.0,0.0,SECOND ROUND PROPER,1874,01.01.01,False,False,16117,4.0,,WANDERERS,TROJANS
55,SHEFFIELD,SHROPSHIRE WANDERERS,0.0,0.0,FIRST ROUND PROPER,1874,17.11.73,True,False,16110,5.0,,SHROPSHIRE WANDERERS,SHEFFIELD
57,SHROPSHIRE WANDERERS,SHEFFIELD,0.0,0.0,FIRST ROUND PROPER,1874,30.10.73,False,False,16103,5.0,,SHROPSHIRE WANDERERS,SHEFFIELD
66,CLAPHAM ROVERS,AMATEUR ATHLETIC CLUB,0.0,0.0,FIRST ROUND PROPER,1874,01.01.01,False,False,16097,5.0,,CLAPHAM ROVERS,AMATEUR ATHLETIC CLUB
67,HIGH WYCOMBE,OLD ETONIANS,0.0,0.0,FIRST ROUND PROPER,1874,01.01.01,False,False,16099,5.0,,OLD ETONIANS,HIGH WYCOMBE
68,MAIDENHEAD,CIVIL SERVICE,0.0,0.0,FIRST ROUND PROPER,1874,01.01.01,False,False,16100,5.0,,MAIDENHEAD,CIVIL SERVICE
69,TROJANS,FARNINGHAM,0.0,0.0,FIRST ROUND PROPER,1874,01.01.01,False,False,16104,5.0,,TROJANS,FARNINGHAM
70,WANDERERS,SOUTHALL,0.0,0.0,FIRST ROUND PROPER,1874,01.01.01,False,False,16107,5.0,,WANDERERS,SOUTHALL
98,CIVIL SERVICE,HARROW CHEQUERS,0.0,0.0,FIRST ROUND PROPER,1875,01.01.01,False,False,16129,5.0,,HARROW CHEQUERS,CIVIL SERVICE
100,SHROPSHIRE WANDERERS,SHEFFIELD,0.0,0.0,FIRST ROUND PROPER,1875,01.01.01,False,False,16137,5.0,,SHROPSHIRE WANDERERS,SHEFFIELD
101,WINDSOR HOME PARK,UXBRIDGE,0.0,0.0,FIRST ROUND PROPER,1875,01.01.01,False,False,16141,5.0,,WINDSOR HOME PARK,UXBRIDGE
114,OXFORD UNIVERSITY,WINDSOR HOME PARK,0.0,0.0,SECOND ROUND PROPER,1875,01.01.01,False,False,16150,4.0,,WINDSOR HOME PARK,OXFORD UNIVERSITY
