home_team,away_team,home_score,away_score,round,year,match_id
SOUTH NORWOOD,WINDSOR HOME PARK,1,0,SECOND ROUND PROPER,1873,16082
NOTTS COUNTY,WEDNESBURY STROLLERS,5,3,SECOND ROUND PROPER,1882,16547
DREADNOUGHT,SOUTH READING,1,2,FIRST ROUND PROPER,1883,16610
BLACKBURN OLYMPIC,CHURCH,4,2,FIRST ROUND PROPER,1886,16976
HURST,BRADSHAW,2,1,FIRST ROUND PROPER,1886,16997
GOLDENHILL,MACCLESFIELD TOWN,4,2,FIRST ROUND PROPER,1887,17165
SUNDERLAND AFC,NEWCASTLE WEST END,2,1,FIRST ROUND PROPER,1887,17193
LOCKWOOD BROTHERS,WEST BROMWICH ALBION,0,1,FIFTH ROUND PROPER,1887,17296
SWIFTS,CREWE ALEXANDRA,3,2,FOURTH ROUND PROPER,1888,17488
BIRMINGHAM EXCELSIOR,WARWICK COUNTY,4,1,FIRST ROUND PROPER,1888,17313
BOLTON WANDERERS,EVERTON,1,0,FIRST ROUND PROPER,1888,17317
CHESHAM,WATFORD ROVERS,4,2,FIRST ROUND PROPER,1888,17322
NOTTS OLYMPIC,MELLORS (NOTTM),3,6,FIRST ROUND PROPER,1888,17355
OSWALDTWISTLE ROVERS,WITTON,3,4,FIRST ROUND PROPER,1888,17363
SUNDERLAND AFC,MORPETH HARRIERS,4,2,FIRST ROUND PROPER,1888,17379
LLANGOLLEN,OSWESTRY,7,3,FIRST ROUND PROPER,1888,17344
SHEFFIELD WEDNESDAY,NOTTS COUNTY,2,3,THIRD ROUND PROPER,1890,17820
SHEFFIELD WEDNESDAY,NOTTS COUNTY,5,0,THIRD ROUND PROPER,1890,17818
WOLVERHAMPTON WANDERERS,STOKE CITY,4,0,THIRD ROUND PROPER,1890,17819
ACCRINGTON,WEST BROMWICH ALBION,3,1,FIRST ROUND PROPER,1890,17790
DARWEN,KIDDERMINSTER,3,1,FIRST ROUND PROPER,1891,17965
MIDDLESBROUGH IRONOPOLIS,BLACKBURN ROVERS,1,2,FIRST ROUND PROPER,1891,17967
ACCRINGTON,SUNDERLAND AFC,1,0,SECOND ROUND PROPER,1892,18159
EVERTON,BURNLEY,2,4,FIRST ROUND PROPER,1892,18142
SHEFFIELD WEDNESDAY,BOLTON WANDERERS,2,1,FIRST ROUND PROPER,1892,18147
STOKE CITY,CASUALS,3,0,FIRST ROUND PROPER,1892,18149
SUNDERLAND AFC,NOTTS COUNTY,3,0,FIRST ROUND PROPER,1892,18150
SUNDERLAND ALBION,BIRMINGHAM ST GEORGE'S,1,2,FIRST ROUND PROPER,1892,18151
DERBY COUNTY,SHEFFIELD WEDNESDAY,1,0,FIRST ROUND PROPER,1893,18362
SHEFFIELD WEDNESDAY,DERBY COUNTY,3,2,FIRST ROUND PROPER,1893,18360
BARNSLEY ST PETER'S,LIVERPOOL,2,1,FIRST ROUND PROPER,1895,18715
GRIMSBY TOWN,CROYDON COMMON,3,0,FIRST ROUND PROPER,1911,24049
NEWCASTLE UNITED,NOTTINGHAM FOREST,4,3,SIXTH ROUND PROPER,1974,55122
TILBURY,KETTERING TOWN,0,1,FIRST ROUND PROPER,1978,57273
BURTON ALBION,LEICESTER CITY,1,6,THIRD ROUND PROPER,1985,61546
PETERBOROUGH UNITED,KINGSTONIAN,9,1,FIRST ROUND PROPER,1993,66919
ARSENAL,SHEFFIELD UNITED,2,1,FIFTH ROUND PROPER,1999,71198
