round_id,round_name,year_id,year,stage
12829,Semi Final,75823,2015,13
12828,Sixth Round Proper,75823,2015,12
12827,Fifth Round Proper,75823,2015,11
12826,Fourth Round Proper,75823,2015,10
12825,Third Round Proper,75823,2015,9
12824,Second Round Proper,75823,2015,8
12823,First Round Proper,75823,2015,7
12822,Fourth Round Qualifying,75823,2015,6
12821,Third Round Qualifying,75823,2015,5
12820,Second Round Qualifying,75823,2015,4
12819,First Round Qualifying,75823,2015,3
12818,Preliminary Round,75823,2015,2
12817,Extra Preliminary Round,75823,2015,1
10615,Semi-Final,71226,2007,13
10614,Sixth Round Proper,71226,2007,12
10613,Fifth Round Proper,71226,2007,11
10612,Fourth Round Proper,71226,2007,10
10611,Third Round Proper,71226,2007,9
10610,Second Round Proper,71226,2007,8
10609,First Round Proper,71226,2007,7
10608,Fourth Qualifying Round,71226,2007,6
10607,Third Qualifying Round,71226,2007,5
10606,Second Qualifying Round,71226,2007,4
10605,First Qualifying Round,71226,2007,3
10604,Preliminary Round,71226,2007,2
10603,Extra Preliminary Round,71226,2007,1
11526,Semi-Final,71309,1956,12
11527,Sixth Round Proper,71309,1956,11
11517,Fifth Round Proper,71309,1956,10
11522,Fourth Round Proper,71309,1956,9
11529,Third Round Proper,71309,1956,8
11525,Second Round Proper,71309,1956,7
11520,First Round Proper,71309,1956,6
11521,Fourth Qualifying Round,71309,1956,5
11528,Third Qualifying Round,71309,1956,4
11524,Second Qualifying Round,71309,1956,3
11519,First Qualifying Round,71309,1956,2
11523,Preliminary Round,71309,1956,1
9258,Final,71041,1993,16
9257,Semi-Final,71041,1993,15
9256,Sixth Round Proper,71041,1993,14
9255,Fifth Round Proper,71041,1993,13
9254,Fourth Round Proper,71041,1993,12
9253,Third Round Proper 2nd Replay,71041,1993,11
9252,Third Round Proper,71041,1993,10
9251,Second Round Proper 2nd Replay,71041,1993,9
9250,Second Round Proper,71041,1993,8
9249,First Round Proper Second Replay,71041,1993,7
9248,First Round Proper,71041,1993,6
9247,Fourth Qualifying Round,71041,1993,5
9246,Third Qualifying Round,71041,1993,4
9245,Second Qualifying Round,71041,1993,3
9244,First Qualifying Round,71041,1993,2
9243,Preliminary Round,71041,1993,1
9193,Semi-Final,71040,1992,12
11983,Sixth Round Proper,71040,1992,11
11980,Fifth Round Proper,71040,1992,10
11981,Fourth Round Proper,71040,1992,9
11984,Third Round Proper,71040,1992,8
11982,Second Round Proper,71040,1992,7
9184,First Round Proper,71040,1992,6
9183,Fourth Qualifying Round,71040,1992,5
9182,Third Qualifying Round,71040,1992,4
9181,Second Qualifying Round,71040,1992,3
9180,First Qualifying Round,71040,1992,2
9179,Preliminary Round,71040,1992,1
11513,Semi-Final,71308,1955,12
11514,Sixth Round Proper,71308,1955,11
11504,Fifth Round Proper,71308,1955,10
11509,Fourth Round Proper,71308,1955,9
11516,Third Round Proper,71308,1955,8
11512,Second Round Proper,71308,1955,7
11507,First Round Proper,71308,1955,6
11508,Fourth Qualifying Round,71308,1955,5
11515,Third Qualifying Round,71308,1955,4
11511,Second Qualifying Round,71308,1955,3
11506,First Qualifying Round,71308,1955,2
11510,Preliminary Round,71308,1955,1
9592,Semi-Final,71046,1998,12
9591,Sixth Round Proper,71046,1998,11
9590,Fifth Round Proper,71046,1998,10
9589,Fourth Round Proper,71046,1998,9
9588,Third Round Proper,71046,1998,8
9587,Second Round Proper,71046,1998,7
9586,First Round Proper,71046,1998,6
9585,Fourth Qualifying Round,71046,1998,5
9584,Third Qualifying Round,71046,1998,4
9583,Second Qualifying Round,71046,1998,3
9582,First Qualifying Round,71046,1998,2
9581,Preliminary Round,71046,1998,1
9660,Semi-Final,71047,1999,12
9659,Sixth Round Proper,71047,1999,11
9658,Fifth Round Proper,71047,1999,10
9657,Fourth Round Proper,71047,1999,9
9656,Third Round Proper,71047,1999,8
9655,Second Round Proper,71047,1999,7
9654,First Round Proper,71047,1999,6
9653,Fourth Qualifying Round,71047,1999,5
9652,Third Qualifying Round,71047,1999,4
9651,Second Qualifying Round,71047,1999,3
9650,First Qualifying Round,71047,1999,2
9649,Preliminary Round,71047,1999,1
11500,Semi-Final,71307,1954,12
11501,Sixth Round Proper,71307,1954,11
11491,Fifth Round Proper,71307,1954,10
11496,Fourth Round Proper,71307,1954,9
11503,Third Round Proper,71307,1954,8
11499,Second Round Proper,71307,1954,7
11494,First Round Proper,71307,1954,6
11495,Fourth Qualifying Round,71307,1954,5
11502,Third Qualifying Round,71307,1954,4
11498,Second Qualifying Round,71307,1954,3
11493,First Qualifying Round,71307,1954,2
11497,Preliminary Round,71307,1954,1
11474,Semi-Final,71305,1952,12
11475,Sixth Round Proper,71305,1952,11
11465,Fifth Round Proper,71305,1952,10
11470,Fourth Round Proper,71305,1952,9
11477,Third Round Proper,71305,1952,8
11473,Second Round Proper,71305,1952,7
11468,First Round Proper,71305,1952,6
11469,Fourth Qualifying Round,71305,1952,5
11476,Third Qualifying Round,71305,1952,4
11472,Second Qualifying Round,71305,1952,3
11467,First Qualifying Round,71305,1952,2
11471,Preliminary Round,71305,1952,1
11461,Semi-Final,71304,1951,13
11462,Sixth Round Proper,71304,1951,12
11452,Fifth Round Proper,71304,1951,11
