round_id,round,year_id,year,stage
10682,Semi-Final,71234,1872,4.0
10681,Second Round Proper,71234,1872,2.0
10683,Third Round Proper,71234,1872,3.0
10680,First Round Proper,71234,1872,1.0
10689,Third Round Proper,71235,1873,3.0
10686,Fourth Round Proper,71235,1873,4.0
10687,Second Round Proper,71235,1873,2.0
10685,First Round Proper,71235,1873,1.0
10688,Semi-Final,71235,1873,5.0
10692,Second Round Proper,71236,1874,2.0
10691,First Round Proper,71236,1874,1.0
10694,Third Round Proper,71236,1874,3.0
10693,Semi-Final,71236,1874,4.0
10695,Final,71237,1875,5.0
10698,Semi-Final,71237,1875,4.0
10696,First Round Proper,71237,1875,1.0
10699,Third Round Proper,71237,1875,3.0
10697,Second Round Proper,71237,1875,2.0
10704,Third Round Proper,71238,1876,3.0
10701,First Round Proper,71238,1876,1.0
10702,Second Round Proper,71238,1876,2.0
10703,Semi-Final,71238,1876,4.0
10700,Final,71238,1876,5.0
10709,Semi-Final,71239,1877,5.0
10708,Second Round Proper,71239,1877,2.0
10706,First Round Proper,71239,1877,1.0
10710,Third Round Proper,71239,1877,3.0
10707,Fourth Round Proper,71239,1877,4.0
10714,Second Round Proper,71240,1878,2.0
10713,Fourth Round Proper,71240,1878,4.0
10715,Semi-Final,71240,1878,5.0
10712,First Round Proper,71240,1878,1.0
10716,Third Round Proper,71240,1878,3.0
10722,Third Round Proper,71241,1879,3.0
10718,First Round Proper,71241,1879,1.0
10719,Fourth Round Proper,71241,1879,4.0
10721,Semi-Final,71241,1879,5.0
10720,Second Round Proper,71241,1879,2.0
10729,Third Round Proper,71242,1880,3.0
10723,Fifth Round Proper,71242,1880,5.0
10725,First Round Proper,71242,1880,1.0
10727,Second Round Proper,71242,1880,2.0
10726,Fourth Round Proper,71242,1880,4.0
10728,Semi-Final,71242,1880,6.0
10735,Semi-Final,71243,1881,6.0
10732,First Round Proper,71243,1881,1.0
10730,Fifth Round Proper,71243,1881,5.0
10734,Second Round Proper,71243,1881,2.0
10733,Fourth Round Proper,71243,1881,4.0
10736,Third Round Proper,71243,1881,3.0
10743,Third Round Proper,71244,1882,3.0
10742,Semi-Final,71244,1882,6.0
10739,First Round Proper,71244,1882,1.0
10737,Fifth Round Proper,71244,1882,5.0
10740,Fourth Round Proper,71244,1882,4.0
10741,Second Round Proper,71244,1882,2.0
10749,Semi-Final,71245,1883,6.0
10748,Second Round Proper,71245,1883,2.0
10746,First Round Proper,71245,1883,1.0
10750,Third Round Proper,71245,1883,3.0
10744,Fifth Round Proper,71245,1883,5.0
