year,pos,league,team,round,stage
1952,3.0,ATHENIAN LEAGUE,BROMLEY,FIRST ROUND PROPER,8.0
1952,11.0,ATHENIAN LEAGUE,LEYTON,FIRST ROUND PROPER,8.0
1952,1.0,CENTRAL ALLIANCE,ILKESTON TOWN,FIRST ROUND PROPER,8.0
1952,2.0,CHESHIRE COUNTY LEAGUE,RHYL,FIRST ROUND PROPER,8.0
1952,4.0,CHESHIRE COUNTY LEAGUE,WITTON ALBION,FIRST ROUND PROPER,8.0
1952,11.0,CHESHIRE COUNTY LEAGUE,BANGOR CITY,FIRST ROUND PROPER,8.0
1952,6.0,DELPHIAN LEAGUE,AYLESBURY UNITED,FIRST ROUND PROPER,8.0
1952,3.0,EASTERN COUNTIES LEAGUE,GORLESTON,FIRST ROUND PROPER,8.0
1952,6.0,EASTERN COUNTIES LEAGUE,KING'S LYNN,FIRST ROUND PROPER,8.0
1952,1.0,ISTHMIAN LEAGUE - SENIOR SECTION,LEYTONSTONE,FIRST ROUND PROPER,8.0
1952,1.0,LANCASHIRE COMBINATION - FIRST DIVISION,NELSON,FIRST ROUND PROPER,8.0
1952,8.0,MIDLAND COUNTIES LEAGUE,GAINSBOROUGH TRINITY,FIRST ROUND PROPER,8.0
1952,10.0,NORTH-EASTERN LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
1952,11.0,NORTH-EASTERN LEAGUE,STOCKTON,FIRST ROUND PROPER,8.0
1952,1.0,NORTHERN LEAGUE,BISHOP AUCKLAND,FIRST ROUND PROPER,8.0
1952,2.0,NORTHERN LEAGUE,BILLINGHAM SYNTHONIA,FIRST ROUND PROPER,8.0
1952,5.0,SOUTHERN LEAGUE,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1952,7.0,SOUTHERN LEAGUE,KETTERING TOWN,FIRST ROUND PROPER,8.0
1952,12.0,SOUTHERN LEAGUE,BEDFORD TOWN,FIRST ROUND PROPER,8.0
1952,13.0,SOUTHERN LEAGUE,BARRY TOWN,FIRST ROUND PROPER,8.0
1952,1.0,WESTERN LEAGUE - DIVISION 1,CHIPPENHAM TOWN,FIRST ROUND PROPER,8.0
1952,3.0,WESTERN LEAGUE - DIVISION 1,BARNSTAPLE TOWN,FIRST ROUND PROPER,8.0
