year,pos,league,team,round,stage
1952,12,BIRMINGHAM AND DISTRICT LEAGUE,BRUSH SPORTS,FIRST ROUND PROPER,8
1952,16,CENTRAL ALLIANCE,BRUSH SPORTS,FIRST ROUND PROPER,8
1952,19,CHESHIRE COUNTY LEAGUE,BUXTON,FIRST ROUND PROPER,8
1952,13,MANCHESTER LEAGUE,BUXTON,FIRST ROUND PROPER,8
1952,3,LONDON LEAGUE - PREMIER DIVISION,GUILDFORD CITY,FIRST ROUND PROPER,8
1952,4,SOUTHERN LEAGUE,GUILDFORD CITY,FIRST ROUND PROPER,8
1952,2,METROPOLITAN AND DISTRICT LEAGUE,TONBRIDGE ANGELS,FIRST ROUND PROPER,8
1952,16,SOUTHERN LEAGUE,TONBRIDGE ANGELS,FIRST ROUND PROPER,8
1952,11,MIDLAND COUNTIES LEAGUE,GOOLE TOWN,FIRST ROUND PROPER,8
1952,4,YORKSHIRE LEAGUE - FIRST DIVISION,GOOLE TOWN,FIRST ROUND PROPER,8
1952,2,SOUTHERN LEAGUE,WEYMOUTH,FIRST ROUND PROPER,8
1952,4,WESTERN LEAGUE - DIVISION 1,WEYMOUTH,FIRST ROUND PROPER,8
1953,8,LANCASHIRE COMBINATION - FIRST DIVISION,ASHTON UNITED,FIRST ROUND PROPER,8
1953,12,MANCHESTER LEAGUE,ASHTON UNITED,FIRST ROUND PROPER,8
1953,1,METROPOLITAN AND DISTRICT LEAGUE,TONBRIDGE ANGELS,FIRST ROUND PROPER,8
1953,16,SOUTHERN LEAGUE,TONBRIDGE ANGELS,FIRST ROUND PROPER,8
1953,14,SOUTHERN LEAGUE,WEYMOUTH,FIRST ROUND PROPER,8
1953,6,WESTERN LEAGUE - DIVISION 1,WEYMOUTH,FIRST ROUND PROPER,8
1954,1,METROPOLITAN LEAGUE,HEADINGTON UNITED,FIRST ROUND PROPER,8
1954,2,SOUTHERN LEAGUE,HEADINGTON UNITED,FIRST ROUND PROPER,8
1954,2,METROPOLITAN LEAGUE,HASTINGS UNITED,FIRST ROUND PROPER,8
1954,10,SOUTHERN LEAGUE,HASTINGS UNITED,FIRST ROUND PROPER,8
1954,6,METROPOLITAN LEAGUE,GUILDFORD CITY,FIRST ROUND PROPER,8
1954,14,SOUTHERN LEAGUE,GUILDFORD CITY,FIRST ROUND PROPER,8
1954,19,MIDLAND COUNTIES LEAGUE,SCARBOROUGH,FIRST ROUND PROPER,8
1954,9,YORKSHIRE LEAGUE - FIRST DIVISION,SCARBOROUGH,FIRST ROUND PROPER,8
1954,4,SOUTHERN LEAGUE,BATH CITY,FIRST ROUND PROPER,8
1954,15,WESTERN LEAGUE - DIVISION 1,BATH CITY,FIRST ROUND PROPER,8
1954,6,SOUTHERN LEAGUE,WEYMOUTH,FIRST ROUND PROPER,8
1954,1,WESTERN LEAGUE - DIVISION 1,WEYMOUTH,FIRST ROUND PROPER,8
1955,8,METROPOLITAN LEAGUE,HASTINGS UNITED,FIRST ROUND PROPER,8
1955,3,SOUTHERN LEAGUE,HASTINGS UNITED,FIRST ROUND PROPER,8
1955,12,METROPOLITAN LEAGUE,HEADINGTON UNITED,FIRST ROUND PROPER,8
1955,10,SOUTHERN LEAGUE,HEADINGTON UNITED,FIRST ROUND PROPER,8
1955,22,MIDLAND COUNTIES LEAGUE,SCARBOROUGH,FIRST ROUND PROPER,8
1955,16,YORKSHIRE LEAGUE - FIRST DIVISION,SCARBOROUGH,FIRST ROUND PROPER,8
1956,1,EASTERN COUNTIES LEAGUE,PETERBOROUGH UNITED,FIRST ROUND PROPER,8
1956,1,MIDLAND COUNTIES LEAGUE,PETERBOROUGH UNITED,FIRST ROUND PROPER,8
1956,1,METROPOLITAN LEAGUE,HASTINGS UNITED,FIRST ROUND PROPER,8
1956,14,SOUTHERN LEAGUE,HASTINGS UNITED,FIRST ROUND PROPER,8
1956,5,METROPOLITAN LEAGUE,BEDFORD TOWN,FIRST ROUND PROPER,8
1956,4,SOUTHERN LEAGUE,BEDFORD TOWN,FIRST ROUND PROPER,8
1956,3,SOUTHERN LEAGUE,YEOVIL TOWN,FIRST ROUND PROPER,8
1956,11,WESTERN LEAGUE - DIVISION 1,YEOVIL TOWN,FIRST ROUND PROPER,8
1956,6,SOUTHERN LEAGUE,WEYMOUTH,FIRST ROUND PROPER,8
1956,9,WESTERN LEAGUE - DIVISION 1,WEYMOUTH,FIRST ROUND PROPER,8
1957,4,BIRMINGHAM AND DISTRICT LEAGUE - DIVISION 1,BURTON ALBION,FIRST ROUND PROPER,8
1957,4,LEICESTERSHIRE SENIOR LEAGUE - DIVISION 1,BURTON ALBION,FIRST ROUND PROPER,8
1957,4,EASTERN COUNTIES LEAGUE,PETERBOROUGH UNITED,FIRST ROUND PROPER,8
1957,1,MIDLAND COUNTIES LEAGUE,PETERBOROUGH UNITED,FIRST ROUND PROPER,8
1957,3,HELLENIC LEAGUE,DUNSTABLE TOWN,FIRST ROUND PROPER,8
1957,13,METROPOLITAN LEAGUE,DUNSTABLE TOWN,FIRST ROUND PROPER,8
1957,2,METROPOLITAN LEAGUE,BEDFORD TOWN,FIRST ROUND PROPER,8
1957,2,SOUTHERN LEAGUE,BEDFORD TOWN,FIRST ROUND PROPER,8
1957,4,METROPOLITAN LEAGUE,HASTINGS UNITED,FIRST ROUND PROPER,8
1957,11,SOUTHERN LEAGUE,HASTINGS UNITED,FIRST ROUND PROPER,8
1957,10,METROPOLITAN LEAGUE,GUILDFORD CITY,FIRST ROUND PROPER,8
1957,7,SOUTHERN LEAGUE,GUILDFORD CITY,FIRST ROUND PROPER,8
1957,3,SOUTHERN LEAGUE,WEYMOUTH,FIRST ROUND PROPER,8
1957,12,WESTERN LEAGUE - DIVISION 1,WEYMOUTH,FIRST ROUND PROPER,8
1957,16,SOUTHERN LEAGUE,YEOVIL TOWN,FIRST ROUND PROPER,8
1957,9,WESTERN LEAGUE - DIVISION 1,YEOVIL TOWN,FIRST ROUND PROPER,8
1958,9,EAST ANGLIAN LEAGUE - DIVISION 1,GORLESTON,FIRST ROUND PROPER,8
1958,15,EASTERN COUNTIES LEAGUE,GORLESTON,FIRST ROUND PROPER,8
1958,4,EASTERN COUNTIES LEAGUE,PETERBOROUGH UNITED,FIRST ROUND PROPER,8
1958,1,MIDLAND COUNTIES LEAGUE,PETERBOROUGH UNITED,FIRST ROUND PROPER,8
1958,12,METROPOLITAN LEAGUE,GUILDFORD CITY,FIRST ROUND PROPER,8
1958,17,SOUTHERN LEAGUE,GUILDFORD CITY,FIRST ROUND PROPER,8
1958,10,MIDLAND COUNTIES LEAGUE,FRICKLEY COLLIERY,FIRST ROUND PROPER,8
1958,11,YORKSHIRE LEAGUE - FIRST DIVISION,FRICKLEY COLLIERY,FIRST ROUND PROPER,8
1958,13,SOUTHERN LEAGUE,YEOVIL TOWN,FIRST ROUND PROPER,8
1958,17,WESTERN LEAGUE - DIVISION 1,YEOVIL TOWN,FIRST ROUND PROPER,8
1959,5,CENTRAL ALLIANCE - DIVISION 1 SOUTH,KETTERING TOWN,FIRST ROUND PROPER,8
1959,2,SOUTHERN LEAGUE - NORTH WEST SECTION,KETTERING TOWN,FIRST ROUND PROPER,8
1959,5,EASTERN COUNTIES LEAGUE,PETERBOROUGH UNITED,FIRST ROUND PROPER,8
1959,1,MIDLAND COUNTIES LEAGUE,PETERBOROUGH UNITED,FIRST ROUND PROPER,8
1959,13,EASTERN COUNTIES LEAGUE,CHELMSFORD CITY,FIRST ROUND PROPER,8
1959,6,SOUTHERN LEAGUE - SOUTH EAST SECTION,CHELMSFORD CITY,FIRST ROUND PROPER,8
1959,8,HELLENIC LEAGUE,HEADINGTON UNITED,FIRST ROUND PROPER,8
1959,9,METROPOLITAN LEAGUE,HEADINGTON UNITED,FIRST ROUND PROPER,8
1959,10,SOUTHERN LEAGUE - NORTH WEST SECTION,HEADINGTON UNITED,FIRST ROUND PROPER,8
1959,10,METROPOLITAN LEAGUE,GUILDFORD CITY,FIRST ROUND PROPER,8
1959,15,SOUTHERN LEAGUE - SOUTH EAST SECTION,GUILDFORD CITY,FIRST ROUND PROPER,8
1959,4,SOUTHERN LEAGUE - SOUTH EAST SECTION,YEOVIL TOWN,FIRST ROUND PROPER,8
1959,1,WESTERN LEAGUE - DIVISION 1,YEOVIL TOWN,FIRST ROUND PROPER,8
1959,5,SOUTHERN LEAGUE - SOUTH EAST SECTION,WEYMOUTH,FIRST ROUND PROPER,8
1959,9,WESTERN LEAGUE - DIVISION 1,WEYMOUTH,FIRST ROUND PROPER,8
1960,6,CENTRAL ALLIANCE - DIVISION 1 SOUTH,KETTERING TOWN,FIRST ROUND PROPER,8
1960,22,SOUTHERN LEAGUE - PREMIER DIVISION,KETTERING TOWN,FIRST ROUND PROPER,8
1960,2,EASTERN COUNTIES LEAGUE,CHELMSFORD CITY,FIRST ROUND PROPER,8
1960,6,SOUTHERN LEAGUE - PREMIER DIVISION,CHELMSFORD CITY,FIRST ROUND PROPER,8
1960,6,EASTERN COUNTIES LEAGUE,PETERBOROUGH UNITED,FIRST ROUND PROPER,8
1960,1,MIDLAND COUNTIES LEAGUE,PETERBOROUGH UNITED,FIRST ROUND PROPER,8
1960,12,EASTERN COUNTIES LEAGUE,KING'S LYNN,FIRST ROUND PROPER,8
1960,8,SOUTHERN LEAGUE - PREMIER DIVISION,KING'S LYNN,FIRST ROUND PROPER,8
1960,7,HELLENIC LEAGUE - PREMIER DIVISION,HEADINGTON UNITED,FIRST ROUND PROPER,8
1960,8,METROPOLITAN LEAGUE,HEADINGTON UNITED,FIRST ROUND PROPER,8
1960,2,SOUTHERN LEAGUE - PREMIER DIVISION,HEADINGTON UNITED,FIRST ROUND PROPER,8
