year,pos,league,team,round,stage
1952,3,ATHENIAN LEAGUE,BROMLEY,FIRST ROUND PROPER,8.0
1952,11,ATHENIAN LEAGUE,LEYTON,FIRST ROUND PROPER,8.0
1952,1,CENTRAL ALLIANCE,ILKESTON TOWN,FIRST ROUND PROPER,8.0
1952,2,CHESHIRE COUNTY LEAGUE,RHYL,FIRST ROUND PROPER,8.0
1952,4,CHESHIRE COUNTY LEAGUE,WITTON ALBION,FIRST ROUND PROPER,8.0
1952,11,CHESHIRE COUNTY LEAGUE,BANGOR CITY,FIRST ROUND PROPER,8.0
1952,6,DELPHIAN LEAGUE,AYLESBURY UNITED,FIRST ROUND PROPER,8.0
1952,3,EASTERN COUNTIES LEAGUE,GORLESTON,FIRST ROUND PROPER,8.0
1952,6,EASTERN COUNTIES LEAGUE,KING'S LYNN,FIRST ROUND PROPER,8.0
1952,1,ISTHMIAN LEAGUE - SENIOR SECTION,LEYTONSTONE,FIRST ROUND PROPER,8.0
1952,1,LANCASHIRE COMBINATION - FIRST DIVISION,NELSON,FIRST ROUND PROPER,8.0
1952,8,MIDLAND COUNTIES LEAGUE,GAINSBOROUGH TRINITY,FIRST ROUND PROPER,8.0
1952,10,NORTH-EASTERN LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
1952,11,NORTH-EASTERN LEAGUE,STOCKTON,FIRST ROUND PROPER,8.0
1952,1,NORTHERN LEAGUE,BISHOP AUCKLAND,FIRST ROUND PROPER,8.0
1952,2,NORTHERN LEAGUE,BILLINGHAM SYNTHONIA,FIRST ROUND PROPER,8.0
1952,5,SOUTHERN LEAGUE,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1952,7,SOUTHERN LEAGUE,KETTERING TOWN,FIRST ROUND PROPER,8.0
1952,12,SOUTHERN LEAGUE,BEDFORD TOWN,FIRST ROUND PROPER,8.0
1952,13,SOUTHERN LEAGUE,BARRY TOWN,FIRST ROUND PROPER,8.0
1952,1,WESTERN LEAGUE - DIVISION 1,CHIPPENHAM TOWN,FIRST ROUND PROPER,8.0
1952,3,WESTERN LEAGUE - DIVISION 1,BARNSTAPLE TOWN,FIRST ROUND PROPER,8.0
1953,1,ATHENIAN LEAGUE,HENDON,FIRST ROUND PROPER,8.0
1953,5,ATHENIAN LEAGUE,LEYTON,FIRST ROUND PROPER,8.0
1953,6,ATHENIAN LEAGUE,FINCHLEY,FIRST ROUND PROPER,8.0
1953,2,CHESHIRE COUNTY LEAGUE,WELLINGTON,FIRST ROUND PROPER,8.0
1953,4,CHESHIRE COUNTY LEAGUE,RHYL,FIRST ROUND PROPER,8.0
1953,5,CHESHIRE COUNTY LEAGUE,BANGOR CITY,FIRST ROUND PROPER,8.0
1953,6,CORINTHIAN LEAGUE,GRAYS ATHLETIC,FIRST ROUND PROPER,8.0
1953,1,ISTHMIAN LEAGUE - SENIOR SECTION,WALTHAMSTOW AVENUE,FIRST ROUND PROPER,8.0
1953,3,ISTHMIAN LEAGUE - SENIOR SECTION,LEYTONSTONE,FIRST ROUND PROPER,8.0
1953,4,ISTHMIAN LEAGUE - SENIOR SECTION,WIMBLEDON,FIRST ROUND PROPER,8.0
1953,9,LANCASHIRE COMBINATION - FIRST DIVISION,NETHERFIELD (KENDAL),FIRST ROUND PROPER,8.0
1953,5,LONDON LEAGUE - PREMIER DIVISION,GUILDFORD CITY,FIRST ROUND PROPER,8.0
