league,pos,team,year,round,stage
NORTHERN PREMIER LEAGUE PREMIER DIVISION,6.0,MATLOCK TOWN,1990.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,9.0,MARINE,1990.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,11.0,BISHOP AUCKLAND,1990.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE DIVISION ONE,4.0,WHITLEY BAY,1990.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE DIVISION ONE,6.0,CONGLETON TOWN,1990.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,1.0,WITTON ALBION,1991.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,4.0,FLEETWOOD TOWN,1991.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,7.0,BISHOP AUCKLAND,1991.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,9.0,LEEK TOWN,1991.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,14.0,CHORLEY,1991.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE DIVISION ONE,1.0,WHITLEY BAY,1991.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,3.0,MORECAMBE,1992.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,6.0,EMLEY,1992.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE DIVISION ONE,2.0,WINSFORD UNITED,1992.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE DIVISION ONE,4.0,GUISELEY,1992.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE DIVISION ONE,6.0,BRIDLINGTON TOWN,1992.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,1.0,SOUTHPORT,1993.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,4.0,MARINE,1993.0,FIRST ROUND PROPER,8.0
NORTHERN PREMIER LEAGUE PREMIER DIVISION,6.0,ACCRINGTON STANLEY,1993.0,FIRST ROUND PROPER,8.0
