league,pos,tier,year,team,round,stage
NATIONAL,1,501,2012.0,FLEETWOOD TOWN,FIRST ROUND PROPER,8.0
NATIONAL,2,501,2012.0,WREXHAM,FIRST ROUND PROPER,8.0
NATIONAL,5,501,2012.0,LUTON TOWN,FIRST ROUND PROPER,8.0
NATIONAL SOUTH,4,602,2012.0,SUTTON UNITED,FIRST ROUND PROPER,8.0
NATIONAL SOUTH,5,602,2012.0,BASINGSTOKE TOWN,FIRST ROUND PROPER,8.0
NATIONAL,7,501,2012.0,SOUTHPORT,FIRST ROUND PROPER,8.0
NATIONAL SOUTH,6,602,2012.0,CHELMSFORD CITY,FIRST ROUND PROPER,8.0
NATIONAL,8,501,2012.0,GATESHEAD,FIRST ROUND PROPER,8.0
NATIONAL,9,501,2012.0,CAMBRIDGE UNITED,FIRST ROUND PROPER,8.0
NATIONAL,11,501,2012.0,GRIMSBY TOWN,FIRST ROUND PROPER,8.0
NATIONAL SOUTH,10,602,2012.0,SALISBURY CITY,FIRST ROUND PROPER,8.0
NATIONAL,13,501,2012.0,BARROW,FIRST ROUND PROPER,8.0
SOUTHERN PREMIER,2,702,2012.0,OXFORD CITY,FIRST ROUND PROPER,8.0
SOUTHERN PREMIER,3,702,2012.0,AFC TOTTON,FIRST ROUND PROPER,8.0
NATIONAL,15,501,2012.0,ALFRETON TOWN,FIRST ROUND PROPER,8.0
NATIONAL SOUTH,17,602,2012.0,BROMLEY,FIRST ROUND PROPER,8.0
SOUTHERN PREMIER,6,702,2012.0,STOURBRIDGE,FIRST ROUND PROPER,8.0
NATIONAL,18,501,2012.0,TAMWORTH,FIRST ROUND PROPER,8.0
NATIONAL,19,501,2012.0,NEWPORT COUNTY,FIRST ROUND PROPER,8.0
NATIONAL,20,501,2012.0,AFC TELFORD UNITED,FIRST ROUND PROPER,8.0
NATIONAL SOUTH,20,602,2012.0,MAIDENHEAD UNITED,FIRST ROUND PROPER,8.0
NORTHERN PREMIER PREMIER,4,701,2012.0,BRADFORD (PARK AVENUE),FIRST ROUND PROPER,8.0
NATIONAL,23,501,2012.0,BATH CITY,FIRST ROUND PROPER,8.0
NATIONAL,24,501,2012.0,KETTERING TOWN,FIRST ROUND PROPER,8.0
NATIONAL NORTH,3,601,2012.0,FC HALIFAX TOWN,FIRST ROUND PROPER,8.0
NORTHERN PREMIER PREMIER,10,701,2012.0,NANTWICH TOWN,FIRST ROUND PROPER,8.0
SOUTHERN PREMIER,18,702,2012.0,ARLESEY TOWN,FIRST ROUND PROPER,8.0
ISTHMIAN DIV ONE NORTH,6,805,2012.0,REDBRIDGE,FIRST ROUND PROPER,8.0
ISTHMIAN PREMIER,10,703,2012.0,EAST THURROCK UNITED,FIRST ROUND PROPER,8.0
NATIONAL NORTH,17,601,2012.0,CORBY TOWN,FIRST ROUND PROPER,8.0
NATIONAL NORTH,20,601,2012.0,HINCKLEY UNITED,FIRST ROUND PROPER,8.0
NATIONAL NORTH,21,601,2012.0,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
NORTHERN PREMIER PREMIER,5,701,2013.0,AFC FYLDE,FIRST ROUND PROPER,8.0
NATIONAL NORTH,2,601,2013.0,GUISELEY,FIRST ROUND PROPER,8.0
NATIONAL NORTH,4,601,2013.0,ALTRINCHAM,FIRST ROUND PROPER,8.0
NATIONAL SOUTH,5,602,2013.0,CHELMSFORD CITY,FIRST ROUND PROPER,8.0
NATIONAL,1,501,2013.0,MANSFIELD TOWN,FIRST ROUND PROPER,8.0
NATIONAL NORTH,6,601,2013.0,HARROGATE TOWN,FIRST ROUND PROPER,8.0
NATIONAL NORTH,7,601,2013.0,BRADFORD (PARK AVENUE),FIRST ROUND PROPER,8.0
NATIONAL,2,501,2013.0,KIDDERMINSTER HARRIERS,FIRST ROUND PROPER,8.0
NATIONAL SOUTH,8,602,2013.0,DORCHESTER TOWN,FIRST ROUND PROPER,8.0
NATIONAL SOUTH,9,602,2013.0,BOREHAM WOOD,FIRST ROUND PROPER,8.0
NATIONAL,5,501,2013.0,WREXHAM,FIRST ROUND PROPER,8.0
NATIONAL NORTH,11,601,2013.0,GLOUCESTER CITY,FIRST ROUND PROPER,8.0
NATIONAL,6,501,2013.0,HEREFORD UNITED,FIRST ROUND PROPER,8.0
NATIONAL,7,501,2013.0,LUTON TOWN,FIRST ROUND PROPER,8.0
NATIONAL SOUTH,15,602,2013.0,BROMLEY,FIRST ROUND PROPER,8.0
ISTHMIAN PREMIER,6,703,2013.0,METROPOLITAN POLICE,FIRST ROUND PROPER,8.0
NATIONAL,9,501,2013.0,BRAINTREE TOWN,FIRST ROUND PROPER,8.0
