year,pos,league,team,round,stage,match1,match2,match3
1952.0,,,BLACKHALL COLLIERY WELFARE,FIRST ROUND PROPER,8.0,"('WHITWICK COLLIERY', 86)","('LINBY COLLIERY', 86)","('CRESWELL COLLIERY', 86)"
1952.0,,,FOLKESTONE,FIRST ROUND PROPER,8.0,"('GORLESTON', 74)","('LEYTONSTONE', 67)","('LEYTON', 63)"
1952.0,,,MERTHYR TOWN,FIRST ROUND PROPER,8.0,"('LYE TOWN', 86)","('ELLESMERE PORT TOWN', 86)","('WELLINGBOROUGH TOWN', 86)"
1952.0,,,RAWMARSH WELFARE,FIRST ROUND PROPER,8.0,"('S. NORMANTON WELFARE', 66)","('ALTOFTS WELFARE', 65)","('BENTINCK WELFARE', 58)"
1953.0,,,GREAT YARMOUTH TOWN,FIRST ROUND PROPER,8.0,"('GT. YARMOUTH TOWN', 89)","('HITCHIN TOWN', 86)","('LYE TOWN', 86)"
1953.0,,,LLANELLI,FIRST ROUND PROPER,8.0,"('LLANELLY', 88)","('BRIERLEY HILL ALLIANCE', 68)","('CRESWELL COLLIERY', 57)"
1953.0,,,NEWPORT (IOW),FIRST ROUND PROPER,8.0,"('ELLESMERE PORT TOWN', 60)","('LETCHWORTH TOWN', 59)","('LETCHWORTH TOWN', 59)"
1954.0,,,GREAT YARMOUTH TOWN,FIRST ROUND PROPER,8.0,"('GT. YARMOUTH TOWN', 89)","('HITCHIN TOWN', 86)","('LYE TOWN', 86)"
1954.0,,,LLANELLI,FIRST ROUND PROPER,8.0,"('LLANELLY', 88)","('BRIERLEY HILL ALLIANCE', 68)","('CRESWELL COLLIERY', 57)"
1954.0,,,NEWPORT (IOW),FIRST ROUND PROPER,8.0,"('ELLESMERE PORT TOWN', 60)","('NEWBURY TOWN', 58)","('BEDWORTH', 57)"
1954.0,,,NUNEATON TOWN,FIRST ROUND PROPER,8.0,"('LYE TOWN', 86)","('LONG EATON TOWN', 79)","('LUTON TOWN', 78)"
1955.0,,,CRESWELL COLLIERY,FIRST ROUND PROPER,8.0,"('THORNE COLLIERY', 69)","('DESFORD COLLIERY', 67)","('BENTLEY COLLIERY', 67)"
1955.0,,,NEWPORT (IOW),FIRST ROUND PROPER,8.0,"('BEDWORTH TOWN', 64)","('ELLESMERE PORT TOWN', 60)","('LETCHWORTH TOWN', 59)"
1955.0,,,NUNEATON TOWN,FIRST ROUND PROPER,8.0,"('LYE TOWN', 86)","('HEMEL HEMPSTEAD TOWN', 86)","('WOLVERTON TOWN & B.R', 86)"
1956.0,,,EASINGTON CW,FIRST ROUND PROPER,8.0,"('ASHINGTON', 76)","('WELLINGTON', 69)","('LOCKHEED (LEAMINGTON)', 68)"
1956.0,,,SKEGNESS TOWN,FIRST ROUND PROPER,8.0,"('LYE TOWN', 86)","('HEMEL HEMPSTEAD TOWN', 86)","('CHIPPING NORTON TOWN', 86)"
1957.0,,,ELY CITY,FIRST ROUND PROPER,8.0,"('CAMBRIDGE CITY', 86)","('STOKE CITY (A)', 86)","('CHICHESTER CITY', 86)"
1957.0,,,ILKESTON TOWN,FIRST ROUND PROPER,8.0,"('LYE TOWN', 86)","('HEMEL HEMPSTEAD TOWN', 86)","('CHIPPING NORTON TOWN', 86)"
