team,pos,pts,year,league,round,stage,match,score
AFC SUDBURY,1,,2001,EASTERN COUNTIES PREMIER DIVISION,FIRST ROUND PROPER,8,KINGSBURY TOWN F.C.,55
BEDLINGTON TERRIERS,1,,1999,NORTHERN LEAGUE DIVISION ONE,FIRST ROUND PROPER,8,FLIXTON,64
BILLINGHAM SYNTHONIA,1,,1990,NORTHERN LEAGUE DIVISION ONE,FIRST ROUND PROPER,8,BUCKINGHAM TOWN,63
BLYTH SPARTANS,4,,1993,NORTHERN LEAGUE DIVISION ONE,FIRST ROUND PROPER,8,SOUTHPORT,50
BRIGG TOWN,2,,2002,NORTHERN COUNTIES EAST PREMIER ,FIRST ROUND PROPER,8,HEDNESFORD TOWN,86
CHASETOWN,1,,2006,MIDLAND ALLIANCE,FIRST ROUND PROPER,8,CHERTSEY TOWN,73
CHESTER,8,,2001,FOOTBALL CONFERENCE,FIRST ROUND PROPER,8,DORCHESTER TOWN,90
CHESTER,4,,2003,FOOTBALL CONFERENCE,FIRST ROUND PROPER,8,DORCHESTER TOWN,90
CHESTER,1,,2004,FOOTBALL CONFERENCE,FIRST ROUND PROPER,8,DORCHESTER TOWN,90
COALVILLE TOWN,3,,2005,MIDLAND ALLIANCE,FIRST ROUND PROPER,8,LEEK TOWN,86
CONSETT,11,,1997,NORTHERN LEAGUE DIVISION ONE,FIRST ROUND PROPER,8,CONGLETON TOWN,64
EBBSFLEET UNITED,1,,1994,SOUTHERN LEAGUE SOUTHERN DIVISION,FIRST ROUND PROPER,8,TOOTING & MITCHAM UNITED,86
EBBSFLEET UNITED,11,,1996,SOUTHERN PREMIER DIVISION,FIRST ROUND PROPER,8,TOOTING & MITCHAM UNITED,86
EBBSFLEET UNITED,6,,2001,ISTHMIAN PREMIER DIVISION,FIRST ROUND PROPER,8,TOOTING & MITCHAM UNITED,86
EBBSFLEET UNITED,1,,2002,ISTHMIAN PREMIER DIVISION,FIRST ROUND PROPER,8,TOOTING & MITCHAM UNITED,86
EBBSFLEET UNITED,11,,2004,FOOTBALL CONFERENCE,FIRST ROUND PROPER,8,BARKING & EAST HAM UNITED,86
GRETNA,1,,1992,NORTHERN LEAGUE DIVISION ONE,FIRST ROUND PROPER,8,MOOR GREEN,66
HARROGATE RAILWAY ATHLETIC,10,,2003,NORTHERN COUNTIES EAST PREMIER ,FIRST ROUND PROPER,8,HARROGATE TOWN,86
HYTHE TOWN,1,,2011,KENT PREMIER DIVISION,FIRST ROUND PROPER,8,F.C. HALIFAX TOWN,86
LEAMINGTON,5,,2006,MIDLAND ALLIANCE,FIRST ROUND PROPER,8,LYMINGTON & NEW MILTON,72
LEIGH GENESIS,8,,1999,NORTHERN PREMIER LEAGUE PREMIER DIVISION,FIRST ROUND PROPER,8,LEIGH RMI,67
LEIGH GENESIS,5,,2001,FOOTBALL CONFERENCE,FIRST ROUND PROPER,8,LEIGH RMI,67
LEIGH GENESIS,22,,2005,FOOTBALL CONFERENCE NATIONAL,FIRST ROUND PROPER,8,LEIGH RMI,67
LEISTON,7,,2009,EASTERN COUNTIES PREMIER DIVISION,FIRST ROUND PROPER,8,ILKESTON TOWN,77
LINCOLN UNITED,1,,1992,CENTRAL MIDLANDS LEAGUE SUPREME DIVISION,FIRST ROUND PROPER,8,HAYES & YEADING UNITED,86
LITTLEHAMPTON TOWN,1,,1991,SUSSEX COUNTIES LEAUGE DIVISION ONE ,FIRST ROUND PROPER,8,HAMPTON,90
MAIDSTONE UNITED,NaN,,1993,NaN,FIRST ROUND PROPER,8,TOOTING & MITCHAM UNITED,86
MERTHYR TOWN,9,,1990,FOOTBALL CONFERENCE,FIRST ROUND PROPER,8,SUTTON COLDFIELD TOWN,86
MERTHYR TOWN,9,,1991,FOOTBALL CONFERENCE,FIRST ROUND PROPER,8,SUTTON COLDFIELD TOWN,86
MERTHYR TOWN,16,,1993,FOOTBALL CONFERENCE,FIRST ROUND PROPER,8,GREAT HARWOOD TOWN,86
MERTHYR TOWN,9,,1997,SOUTHERN PREMIER DIVISION,FIRST ROUND PROPER,8,GREAT HARWOOD TOWN,86
MERTHYR TOWN,17,,2000,SOUTHERN PREMIER DIVISION,FIRST ROUND PROPER,8,SUTTON COLDFIELD TOWN,86
MERTHYR TOWN,9,,2006,SOUTHERN PREMIER DIVISION,FIRST ROUND PROPER,8,HEMEL HEMPSTEAD TOWN,86
NEWCASTLE TOWN,2,,1997,NORTH WEST COUNTIES LEAGUE DIVISION ONE,FIRST ROUND PROPER,8,LEEK TOWN,86
NUNEATON TOWN,1,,1993,SOUTHERN MIDLAND DIVISION,FIRST ROUND PROPER,8,SUTTON COLDFIELD TOWN,86
NUNEATON TOWN,22,,1994,SOUTHERN PREMIER DIVISION,FIRST ROUND PROPER,8,SUTTON COLDFIELD TOWN,86
NUNEATON TOWN,1,,1996,SOUTHERN MIDLAND DIVISION,FIRST ROUND PROPER,8,SUTTON COLDFIELD TOWN,86
NUNEATON TOWN,13,,2001,FOOTBALL CONFERENCE,FIRST ROUND PROPER,8,SUTTON COLDFIELD TOWN,86
NUNEATON TOWN,3,,2006,FOOTBALL CONFERENCE NORTHERN,FIRST ROUND PROPER,8,HEMEL HEMPSTEAD TOWN,86
SHILDON,14,,2004,NORTHERN LEAGUE DIVISION ONE,FIRST ROUND PROPER,8,SWINDON SUPERMARINE,64
SOLIHULL MOORS,12,,2003,SOUTHERN PREMIER DIVISION,FIRST ROUND PROPER,8,SOLIHULL BOROUGH,73
SPENNYMOOR UNITED,3,,1991,NORTHERN COUNTIES EAST PREMIER ,FIRST ROUND PROPER,8,HYDE UNITED,86
TEAM BATH,18,,2003,WESTERN LEAGUE DIVISION ONE,FIRST ROUND PROPER,8,BANSTEAD ATHLETIC,70
TIPTON TOWN,2,,2011,MIDLAND ALLIANCE,FIRST ROUND PROPER,8,F.C. HALIFAX TOWN,86
TIVERTON TOWN,4,,1991,WESTERN LEAGUE PREMIER DIVISION,FIRST ROUND PROPER,8,SUTTON COLDFIELD TOWN,86
TIVERTON TOWN,3,,1992,WESTERN LEAGUE PREMIER DIVISION,FIRST ROUND PROPER,8,SUTTON COLDFIELD TOWN,86
TIVERTON TOWN,1,,1995,WESTERN LEAGUE PREMIER DIVISION,FIRST ROUND PROPER,8,SUTTON COLDFIELD TOWN,86
TIVERTON TOWN,1,,1998,WESTERN LEAGUE PREMIER DIVISION,FIRST ROUND PROPER,8,SUTTON COLDFIELD TOWN,86
TOW LAW TOWN,3,,1990,NORTHERN DIVISION ONE,FIRST ROUND PROPER,8,SUTTON COLDFIELD TOWN,86
WEST AUCKLAND TOWN,4,,1999,NORTHERN DIVISION ONE,FIRST ROUND PROPER,8,WORKSOP TOWN,86
WHITBY TOWN,1,,1997,NORTHERN DIVISION ONE,FIRST ROUND PROPER,8,GREAT HARWOOD TOWN,86
WISBECH TOWN,11,,1996,EASTERN COUNTIES PREMIER DIVISION,FIRST ROUND PROPER,8,GREAT HARWOOD TOWN,86
WISBECH TOWN,2,,1997,EASTERN COUNTIES PREMIER DIVISION,FIRST ROUND PROPER,8,GREAT HARWOOD TOWN,86
