year,league,tier
1952,ATHENIAN LEAGUE,7
1952,BIRMINGHAM AND DISTRICT LEAGUE,7
1952,CENTRAL ALLIANCE,7
1952,CHESHIRE COUNTY LEAGUE,7
1952,DELPHIAN LEAGUE,7
1952,EASTERN COUNTIES LEAGUE,7
1952,ISTHMIAN LEAGUE SENIOR SECTION,5
1952,KENT LEAGUE,7
1952,LANCASHIRE COMBINATION FIRST DIVISION,7
1952,MIDLAND COUNTIES LEAGUE,7
1952,NORTH EASTERN LEAGUE,7
1952,NORTH-EASTERN LEAGUE,7
1952,NORTHERN LEAGUE,6
1952,SHEFFIELD ALLIANCE,7
1952,SOUTHERN LEAGUE,5
1952,WESTERN LEAGUE DIVISION 1,6
1953,ATHENIAN LEAGUE,7
1953,CHESHIRE COUNTY LEAGUE,7
1953,CORINTHIAN LEAGUE,7
1953,EASTERN COUNTIES,7
1953,HAMPSHIRE LEAGUE DIVISION ONE,7
1953,ISTHMIAN LEAGUE SENIOR SECTION,5
1953,LANCASHIRE COMBINATION FIRST DIVISION,7
1953,LONDON LEAGUE PREMIER DIVISION,7
1953,MIDLAND COUNTIES LEAGUE,7
1953,NORTH-EASTERN LEAGUE,7
1953,NORTHERN LEAGUE,6
1953,SOUTHERN LEAGUE,5
1953,WESTERN LEAGUE DIVISION 1,6
1953,YORKSHIRE LEAGUE FIRST DIVISION,7
1954,ATHENIAN LEAGUE,7
1954,BIRMINGHAM & DISTRICT,7
1954,CHESHIRE COUNTY LEAGUE,7
1954,EASTERN COUNTIES,7
1954,EASTERN COUNTIES LEAGUE,7
1954,HAMPSHIRE LEAGUE DIVISION ONE,7
1954,ISTHMIAN LEAGUE SENIOR SECTION,5
1954,LANCASHIRE COMBINATION FIRST DIVISION,7
1954,MIDLAND COUNTIES LEAGUE,7
1954,NORTH-EASTERN LEAGUE,7
1954,NORTHERN LEAGUE,6
1954,SOUTHERN LEAGUE,5
1954,YORKSHIRE LEAGUE FIRST DIVISION,7
1955,ATHENIAN LEAGUE,7
1955,BIRMINGHAM & DISTRICT NORTHERN,7
1955,BIRMINGHAM AND DISTRICT LEAGUE NORTHERN DIVISION,7
1955,CENTRAL ALLIANCE FIRST DIVISION SOUTH,7
1955,CHESHIRE COUNTY LEAGUE,7
1955,CORINTHIAN LEAGUE,7
1955,EASTERN COUNTIES LEAGUE,7
1955,HAMPSHIRE LEAGUE DIVISION ONE,7
1955,ISTHMIAN LEAGUE SENIOR SECTION,5
1955,KENT LEAGUE DIVISION 1,7
1955,LANCASHIRE COMBINATION DIVISION 1,7
1955,MIDLAND COUNTIES LEAGUE,7
1955,NORTH-EASTERN LEAGUE,7
1955,NORTHERN LEAGUE,6
1955,SOUTHERN LEAGUE,5
1955,WESTERN LEAGUE DIVISION 1,6
1955,WESTERN LEAGUE DIVISION 2,7
1955,YORKSHIRE LEAGUE FIRST DIVISION,7
1956,ATHENIAN LEAGUE,7
1956,BIRMINGHAM AND DISTRICT LEAGUE DIVISION 1,7
1956,CHESHIRE COUNTY LEAGUE,7
1956,EASTERN COUNTIES LEAGUE,7
1956,ISTHMIAN LEAGUE SENIOR SECTION,5
1956,KENT LEAGUE DIVISION 1,7
1956,LANCASHIRE COMBINATION DIVISION 1,7
1956,LINCONSHIRE LEAGUE,7
1956,MIDLAND COUNTIES LEAGUE,7
1956,NORTHERN LEAGUE,6
1956,SOUTHERN LEAGUE,5
1956,WEARSIDE LEAGUE,6
1956,WESTERN LEAGUE DIVISION 1,6
